intro,links
The Maharashtra government will grant 10 per cent reservation in jobs and education to those who are economically weak in the state.,https://www.ndtv.com/india-news/maharashtra-to-give-10-reservation-in-jobs-education-for-poor-sections-1988161
"Days after submitting in the Supreme Court a list of ""over 50 women who entered the Sabarimala temple"" since its September order allowing all women of menstrual age into the shrine, the Kerala government has not only withdrawn the list, but also told the state assembly that only two women managed to do so.",https://www.ndtv.com/india-news/only-2-not-51-women-below-50-entered-sabarimala-says-kerala-minister-1988158
BJP President Amit Shah on Monday said the doors of the National Democratic Alliance (NDA) were closed forever for Andhra Pradesh Chief Minister N. Chandrababu Naidu.,https://www.ndtv.com/india-news/amit-shah-says-nda-doors-shut-forever-for-chandrababu-naidu-1988156
"Congress leader Mallikarjun Kharge has returned Union Minister Arun Jaitley's jibe on his dissent on the appointment of the new Central Bureau of Investigation (CBI) chief, saying the value of the prime minister's office was brought down by the way the crucial appointment was dealt with.",https://www.ndtv.com/india-news/mallikarjun-kharge-returns-arun-jaitley-barb-value-of-pmo-brought-down-1988155
"The ongoing Kumbh Mela in Prayagraj, formerly Allahabad, makes for a great subject for photography, with bright colours and interesting sights all around. Adding to the media output from the event are now cameras fitted in drones, which can give a great view from a considerable height.",https://www.ndtv.com/india-news/on-a-crowded-day-at-kumbh-mela-drone-shots-show-its-entire-expanse-1988152
"Alleging a smear campaign against Congress leader Priyanka Gandhi Vadra on social media by the RSS and the BJP, the party's women's wing has filed a complaint with the Delhi Police, demanding action against those behind it.",https://www.ndtv.com/india-news/congress-files-complaint-against-campaign-targeting-priyanka-gandhi-vadra-1988139
"Karnataka Chief Minister HD Kumaraswamy today ruled out any threat to his eight-month old government, dismissing speculations that disgruntled Congress legislators could pose trouble in the coming budget session of the assembly by staying away from it.",https://www.ndtv.com/india-news/karnataka-chief-minister-hd-kumaraswamy-says-no-threat-to-jds-congress-government-1988136
A trial court in Madhya Pradesh has issued a death penalty against a school teacher who has been convicted of raping a four-year-old girl.,https://www.ndtv.com/india-news/madhya-pradesh-trial-court-gives-death-penalty-to-teacher-for-raping-girl-1988132
"Bihar Chief Minister Nitish Kumar on Monday reacted to the ongoing hostilities between the centre and West Bengal Chief Minister Mamata Banerjee, saying anything can happen when elections are around.",https://www.ndtv.com/india-news/nitish-kumar-quips-on-bengal-row-think-id-have-such-a-police-chief-1988112
"Rahul Gandhi's support for West Bengal Chief Minister Mamata Banerjee's ongoing sit-in protest against the centre had the BJP hunting for archives that can be tossed at the Congress chief to reveal what the party ""diagnosed"" as his ""personality states"".",https://www.ndtv.com/india-news/get-well-soon-rahul-ji-says-bjp-reminds-him-of-old-mamata-banerjee-tweets-1988106
