intro,links
"In a significant development, France will move a proposal at the United Nations in a ""couple of days"" to designate Masood Azhar, chief of Pakistan-based terror group Jaish-e-Mohammed, as a global terr...",https://www.ndtv.com/india-news/france-to-ask-un-to-designate-masood-azhar-as-global-terrorist-backing-indias-call-after-pulwama-new-1996042
"The Bihar Assembly on Monday passed a resolution recommending to the Centre to conduct caste-based census in 2021, when the next head counting exercise would be held in the country.",https://www.ndtv.com/india-news/bihar-assembly-passes-resolution-seeking-caste-based-census-in-2021-a-first-since-1931-1996036
"Former Congress president Sonia Gandhi may contest the national election again from Raebareli, the family stronghold in Uttar Pradesh that has voted her since 2004. It is not official and the formal announcement is expected only early next month, but Sonia Gandhi, 72, will contest, say sources, tackling speculation about Priyanka Gandhi Vadra contesting from Raebareli after her political debut last month.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-it-may-be-sonia-gandhi-again-from-raebareli-sources-1996029
"The CBI today approached the Delhi High Court seeking custodial interrogation of lobbyist Deepak Talwar in a case related to alleged violation of foreign funding law, FCRA (Foreign Contribution Regulation Act).",https://www.ndtv.com/india-news/cbi-moves-delhi-high-court-seeking-custodial-interrogation-of-lobbyist-deepak-talwar-1996025
"A day after sealing a seat-sharing pact with the BJP, the Shiv Sena today asked the NDA government not to behave in a way that would fuel allegations that it was trying to wage a war to influence poll results.",https://www.ndtv.com/india-news/day-after-patch-up-sena-targets-bjp-again-this-time-over-pulwama-1996017
"Leader of the Opposition in Bihar Assembly Tejashwi Yadav on Tuesday demanded that Chief Minister Nitish Kumar make public the call records of Brajesh Thakur, the main accused in the Muzaffarpur shelter home rape case. He said if made public, a BJP leader who is apparently hiding will be exposed.",https://www.ndtv.com/india-news/muzaffarpur-shelter-home-tejashwi-yadav-says-make-brajesh-thakurs-call-records-public-to-expose-bjp-1996012
"The mortal remains of Army Havildar Sheo Ram, who was killed in an encounter with terrorists in the Pinglan area of Jammu and Kashmir's Pulwama district, were consigned to flames with full military and state honours today.",https://www.ndtv.com/india-news/rajasthan-soldier-killed-in-pulwama-encounter-cremated-with-full-state-honours-1996006
"India today hit out at Pakistan Prime Minister Imran Khan over his statement on the Pulwama terror attack in which 40 soldiers were killed by a suicide bomber, and said he should ""stop misleading the world"" and take credible and visible action against those behind the attack.",https://www.ndtv.com/india-news/india-rejects-imran-khans-allegations-on-pulwama-says-pakistan-should-stop-misleading-world-and-take-1996001
"The Supreme Court today granted protection from arrest in all cases registered against former IPS officer Bharati Ghosh, who had recently joined the BJP. A bench headed by Justice AK Sikri said no coercive action should be taken against her and posted the matter for further hearing after three weeks.",https://www.ndtv.com/india-news/in-setback-for-bengal-government-ex-cop-granted-protection-from-arrest-in-all-cases-1996000
The Patna High Court on Tuesday struck down a bill that enabled former chief ministers to live in government bungalows for life.,https://www.ndtv.com/india-news/former-bihar-chief-ministers-ordered-to-vacate-government-bungalows-1995994
"Manipur human rights activist Irom Sharmila has criticized the NDA government, accusing it of disregarding people's sentiments when making policy decisions.",https://www.ndtv.com/india-news/realized-politics-is-not-my-cup-of-tea-says-manipurs-iron-lady-irom-sharmila-1995983
"Swedish defence firm Saab AB, which is seeking to sell its Gripen fighter jets to the Indian Air Force, said on Tuesday it could offer to make most of them in a production facility likely to be set up in one of the southern cities.",https://www.ndtv.com/india-news/aero-india-2019-saab-proposes-to-make-96-gripen-jets-in-india-to-win-indian-air-force-deal-1995979
"A Saudi man has been arrested by customs officials at the Delhi airport for allegedly trying to smuggle into India gold worth about <span class=""rupee"">R<span>s.</span></span> 53 lakh, according to an official statement issued today",https://www.ndtv.com/india-news/saudi-man-arrested-at-delhi-airport-for-allegedly-smuggling-gold-1995976
"The Pakistan Army and its espionage agency ISI were involved in the car bomb attack that left more 40 paramilitary soldiers dead in Jammu and Kashmir's Pulwama, a top Indian Army official said today. The army also sent out a clear message that anyone picking up the gun to join a terror outfit in Jammu and Kashmir would be eliminated.",https://www.ndtv.com/india-news/jaish-e-mohammed-a-brainchild-of-pak-army-isi-top-indian-army-officer-1995973
"The devotion of pilgrims at the confluence of the holy rivers Ganga, Yamuna and the mythical river Saraswati gave way to some breath-taking pictures from Kumbh Mela on the occasion of Maghi Purnima. The stunning aerial visuals of the holy occasion have been shared by news agency ANI on Twitter.",https://www.ndtv.com/india-news/stunning-pictures-of-maghi-purnima-from-kumbh-mela-in-prayagraj-1995968
"A goods train derailed between Khalari and Ray stations near Jharkhand's Ranchi today, disrupting train movement in Dhanbad Rail Division, a statement issued by the Railway Protection Force or RPF said.",https://www.ndtv.com/india-news/goods-train-derails-in-jharkhand-rail-traffic-on-route-affected-1995944
"Meghalaya Governor Tathagata Roy, no stranger to controversies for his provocative comments, stoked a new one on Tuesday by endorsing a call to boycott ""everything Kashmiri"", including the Amarnath Yatra and purchasing products from the state, as a response to last week's Pulwama terror attack.",https://www.ndtv.com/india-news/meghalaya-governor-tathagata-roy-after-pulwama-terror-attack-boycott-everything-kashmiri-1995939
"Cricketer-turned-politician and suspended BJP lawmaker Kirti Azad, who joined the Congress on Monday, attacked Prime Minister Narendra Modi for making false promises and said there was no internal democracy within the BJP. He also said joining congress was his ""ghar wapsi"" and he felt like a ""political orphan"" in the BJP.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-regretted-being-in-bjp-made-my-way-home-to-congress-says-kirti-azad-1995938
"A rare Indian snake species - Red Coral Kukri- has been sighted in the Dudhwa Tiger Reserve (DTR) in Uttar Pradesh's Lakhimpur Kheriafter a gap of 82 years, park officials said today.",https://www.ndtv.com/india-news/rare-snake-red-coral-khukri-named-after-area-in-up-spotted-there-after-82-years-1995913
"The Supreme Court Tuesday decided not to pass any order on summoning West Bengal chief secretary, DGP and Kolkata police commissioner for their personal presence before it in connection with the Saradha chit fund scam in which the three have been issued contempt notice.",https://www.ndtv.com/india-news/saradha-hearing-deferred-till-tomorrow-kolkata-police-chief-to-appear-1995904
The Centre today told the Supreme Court that 938 people are detained in six detention centres in Assam and 823 of them have been declared as foreigners by tribunals.,https://www.ndtv.com/india-news/27-000-foreigners-stopped-at-border-while-trying-to-enter-india-illegally-centre-to-supreme-court-1995903
"The National Human Rights Commission (NHRC) on Monday sent a notice to the Uttar Pradesh government over reported deaths of 150 people in the last 15 years due to consuming ""illicit liquor"" in Mainpuri district",https://www.ndtv.com/india-news/national-human-rights-body-notice-to-up-government-over-150-deaths-due-to-illicit-liquor-1995882
A large number of youngsters from Hari Singh's village are serving in the Indian Army.,https://www.ndtv.com/india-news/haryana-soldier-killed-in-pulwama-encounter-cremated-with-military-honours-1995881
"Prime Minister Narendra Modi on Tuesday said that people who are ""mocking"" India's first engine-less train Vande Bharat Express, which suffered technical problems on its inaugural run on Saturday, should be ""punished"" for ""insulting"" India's engineers and technicians.",https://www.ndtv.com/india-news/vande-bharat-express-pm-narendra-modi-says-people-mocking-train-18-should-be-punished-1995879
"Rajeev Kumar, the Kolkata top cop, who was questioned by the CBI in connection with the Saradha and Rose Valley scam cases, was transferred today as Additional Director General (ADG) and Inspector General of Police (IGP) Crime Investigation Department or CID. Rajeev Kumar was the police chief of Kolkata for three years and his transfer was due before the general elections scheduled in May, said sources.",https://www.ndtv.com/kolkata-news/kolkata-police-commissioner-rajeev-kumar-transferred-days-after-cbi-grilling-to-head-cid-1995878
"The Kerala government today announced a financial assistance of <span class=""rupee"">R<span>s.</span></span> 25 lakh to the family of V V Vasanth Kumar, the CRPF personnel from the state who was killed in the recent terror attack in Jammu and Kashmir.",https://www.ndtv.com/india-news/kerala-government-announces-rs-25-lakh-aid-for-crpf-soldier-vv-vasant-kumars-family-1995872
"Goa Chief Minister Manohar Parrikar will continue in office as long as he is alive, but on account of pancreatic cancer his health condition keeps fluctuating, Deputy Speaker of the Goa Legislative Assembly Michael Lobo said today",https://www.ndtv.com/india-news/goa-deputy-speaker-michael-lobo-says-manohar-parrikar-will-continue-office-till-he-is-alive-1995868
"Pakistan Prime Minister Imran Khan's comment that he would act on any actionable evidence in Pulwama attack, has not gone down well with Punjab Chief Minister Amarinder Singh",https://www.ndtv.com/india-news/amarinder-singh-jabs-imran-khan-will-find-masood-azhar-for-you-1995861
"The government will re-issue an ordinance as the <i>Triple Talaq</i> Bill failed to clear parliament in the last session before the Lok Sabha elections due by May, sources said.",https://www.ndtv.com/india-news/government-to-re-issue-ordinance-as-triple-talaq-bill-fails-to-clear-parliament-in-last-session-befo-1995857
"Emergency helpline number 112 provides immediate assistance to services like police (100), fire (101), health (108), women safety (1090) and child protection in India.",https://www.ndtv.com/india-news/112-india-new-all-in-one-emergency-helpline-number-launched-1995856
