intro,links
"The results of assembly election in Rajasthan's Ramgarh and bypoll in Haryana's Jind are likely to be read as important indicators ahead of the national election, due by May. The stakes are high for both the ruling BJP, Congress in these polls, though other state players like the Bahujan Samaj Party (BSP) in Rajasthan and Indian National Lok Dal (INLD) in Haryana are also in the contest.",https://www.ndtv.com/india-news/bjp-congress-tested-in-2-big-results-in-haryana-rajasthan-10-points-1985925
"Ram temple issue: A powerful priest said on Wednesday he would lead a group of followers to start building a temple on the ruins of a 16th-century mosque in Ayodhya, which could violate a court order and raise religious tensions in an election year.",https://www.ndtv.com/india-news/february-21-swaroopanand-saraswati-sets-date-for-ayodhya-temple-1985901
"Religious leader Swami Swaroopanand Saraswati said on Wednesday that a ceremony to mark the start of construction of a Ram temple in Ayodhya will take place on February 21, even if those gathering there have to ""face bullets"".",https://www.ndtv.com/india-news/ram-temple-construction-from-feb-21-ready-to-face-bullets-swaroopanand-saraswati-at-kumbh-1985899
"Hindu Mahasabha leader, Pooja Shakun Pandey, who shockingly enacted the assassination of Mahatma Gandhi at Aligarh on Wednesday was seen with former Madhya Pradesh Chief Minister Shivraj Singh Chouhan and union minister Uma Bharati in pictures posted by the right-wing group leader on Facebook. The pictures with the senior BJP leaders, which were shared on Facebook by Pooja Shakun Pandey on March 19, 2017, however, seem to have been removed now.",https://www.ndtv.com/india-news/hindu-mahasabha-leader-pooja-shakun-pandey-who-recreated-mahatma-gandhis-assassination-in-facebook-p-1985895
"Narthaki Nataraj, the first transgender to be awarded the Padma Shri, opined that she was chosen for the civilian decoration not because of her gender or identity but solely on the basis of merit and her talent as a Bharatanatyam artist.",https://www.ndtv.com/india-news/narthaki-nataraj-says-padma-shri-awarded-on-merit-not-transgender-identity-1985889
The results of the crucial bypolls in Haryana's Jind and Rajasthan's Ramgarh assembly constituencies will be declared today. The results of the bypolls are crucial for both the BJP and the Congress. The high-stakes election is considered a referendum on the Manohar Lal Khattar government and also a semi-final ahead of Lok Sabha elections.,https://www.ndtv.com/india-news/jind-ramgarh-bypolls-live-updates-counting-of-votes-in-rajasthan-and-haryana-constituencies-to-be-he-1985887
"Yoga teacherRamdev has urged saints and seers at the Kumbh Mela to quit smoking.""We follow Ram and Krishna who never smoked in their life then why should we? We must take a pledge to quit smoking,"""" he said. ""We sadhus have left everything including our home, mother and father for a greater cause, then why we cannot leave smoking.""",https://www.ndtv.com/india-news/ramdev-to-sadhus-at-kumbh-ram-krishna-didnt-smoke-why-should-we-1985884
"On the eve of Budget session, Lok Sabha Speaker Sumitra Mahajan on Wednesday said all parties have assured their cooperation in smooth functioning of the house and urged the members to raise issues of national importance.",https://www.ndtv.com/india-news/parties-have-assured-cooperation-sumitra-mahajan-ahead-of-budget-session-1985864
A court on Wednesday sentenced three persons to life imprisonment till last breath for killing a 24-year-old man during the Jat quota agitation in 2016.,https://www.ndtv.com/india-news/hisar-3-awarded-life-term-in-haryana-for-killing-man-during-2016-jat-quota-stir-1985862
"Targeting Prime Minister Narendra Modi once again, Andhra Pradesh Chief Minister N Chandrababu Naidu on Wednesday said he addressed him as 'sir' to satisfy his ego for the sake of the state.",https://www.ndtv.com/india-news/called-junior-pm-modi-sir-10-times-to-satisfy-his-ego-chandrababu-naidu-1985859
"The next meeting of the selection committee, headed by Prime Minister Narendra Modi, to pick a new CBI director will take place on Friday, Congress leader Mallikarjun Kharge, who is also member of the panel, said Wednesday.",https://www.ndtv.com/india-news/pm-led-panel-to-pick-new-cbi-chief-on-friday-mallikarjun-kharge-1985856
"Neither the BJP nor Prime Minister Narendra Modi support derogatory statements against any ""daughter of the country"", Union Culture Minister Mahesh Sharma said on Wednesday.",https://www.ndtv.com/india-news/union-minister-mahesh-sharma-says-bjp-doesnt-not-support-derogatory-comment-against-any-daughter-of-1985852
"The BJP led government in Tripura is facing massive protests against the Citizenship Amendment Bill with most of the regional tribal political parties in the state uniting across party line under the leadership of the Royal scion and working President of Congress in Tripura, Pradyot Manikya Deb Burman.",https://www.ndtv.com/india-news/massive-protests-in-tripura-under-royal-scion-against-citizenship-bill-1985850
"Former IAS officer Shah Faesal, who recently quit the service to join politics, Wednesday called for reviving talks with Pakistan to bring lasting peace in militancy-affected Jammu and Kashmir, his home state.",https://www.ndtv.com/india-news/former-ias-officer-shah-faesal-says-revive-talks-with-pak-to-restore-peace-in-kashmir-1985848
"Lok Sabha Speaker Sumitra Mahajan said on Wednesday that she was a ""Ram Bhakt"" and wanted a Ram temple to be built at Ayodhya.",https://www.ndtv.com/india-news/lok-sabha-speaker-sumitra-mahajan-says-want-ram-temple-to-be-built-in-ayodhya-1985847
"The government has decided to call for applications from eligible candidates for the post of chairman and members of anti-corruption ombudsman Lokpal, officials said Wednesday.",https://www.ndtv.com/india-news/centre-to-appoint-lokpal-chief-other-members-after-supreme-court-deadline-1985844
"Union Minister Piyush Goyal will donate the 2018 Carnot Prize money of $25,000 (around <span class=""rupee"">R<span>s.</span></span> 18 lakh), which he received on Wednesday, to the International Solar Alliance (ISA) to institute an award for organisations working with children with special needs and the ones maximising use of solar energy.",https://www.ndtv.com/india-news/piyush-goyal-to-donate-25-000-award-to-international-solar-alliance-1985842
"Hitting out at the government over its plea to return the land around the disputed Aypodhya site, BSP chief Mayawati on Wednesday said the move is out of ""frustration"" as the BJP feels it will not return to power because of her alliance with the Samajwadi Party.",https://www.ndtv.com/india-news/bsp-chief-mayawati-hits-back-at-centre-over-plea-on-ayodhya-1985840
Over 10 flights of financially troubled Jet Airways were cancelled on Wednesday a day after four aircraft were grounded.,https://www.ndtv.com/india-news/over-10-flights-cancelled-as-jet-airways-grounds-4-aircraft-1985839
"Mounting attack on the Gandhi family, Prime Minister Narendra Modi on Wednesday said that they those who are on ""bail will have to go to jail.""",https://www.ndtv.com/india-news/those-on-bail-will-go-to-jail-pm-modis-new-attack-on-the-gandhi-family-1985836
"A man wanted in a 2004 Surat murder case, was arrested from Pune after being on the run for 15 years, Mumbai police said on Wednesday.",https://www.ndtv.com/india-news/man-wanted-in-2004-surat-murder-case-arrested-after-15-years-in-pune-1985833
"Prime Minister Narendra Modi on Wednesday said that while the Congress government remained in deep slumber even after the 26/11 Mumbai terror attack that shocked the entire nation, his government swung into action conducting a surgical strike following the Uri attack.",https://www.ndtv.com/india-news/congress-slept-through-26-11-we-conducted-surgical-strike-after-uri-pm-modi-1985831
"Meghalaya Home Minister James K Sangma Wednesday said the multi-agency operation to search for the remaining 13 miners trapped inside a 370-foot-deep coal mine in East Jaintia Hills district will continue, as per directions of the Supreme Court.",https://www.ndtv.com/india-news/rescue-operations-for-meghalaya-miners-to-continue-as-per-supreme-court-directions-says-james-k-sang-1985829
"India today summoned Pakistan High Commissioner Sohail Mahmood over Foreign Minister Shah Mehmood Qureshi's telephonic conversation with Hurriyat leader Mirwaiz Umar Farooq. The conversation, ahead of the coming national elections, was a ""brazen attempt to subvert India's unity and to violate its sovereignty and territorial integrity,"" the External Affairs Ministry said.",https://www.ndtv.com/india-news/pak-minister-talks-to-hurriyat-leadermirwaiz-umar-farooq-india-summons-envoy-sohail-mahmood-1985827
"The Aam Aadmi Party reappointed Bhagwant Mann as the state president of Punjab on Wednesday, in a bid to strengthen its prospects ahead of the Lok Sabha elections.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-a-year-after-exit-bhagwant-mann-re-appointed-punjab-aam-aadmi-party-chief-1985819
