intro,links
"A 24-year-old Indian man has drowned at a beach in Sharjah city of the United Arab Emirates (UAE), the police said.",https://www.ndtv.com/india-news/indian-man-drowns-at-beach-in-sharjah-2005773
"A terrorist, believed to be the mastermind of the terror attack in Pulwama, is among the three Jaish-e-Mohammed (JeM) terrorist killed in an encounter with security forces in Tral area in south Kashmir.",https://www.ndtv.com/india-news/jaish-terrorist-suspect-in-pulwama-attack-killed-in-kashmirs-tral-encounter-2005768
"The government's 10 per cent quota for the economically weak in job and education will not be put on hold, the Supreme Court said today while hearing petitions requesting for the reservation policy to be kept on hold.",https://www.ndtv.com/india-news/governments-10-per-cent-quota-for-poor-wont-be-put-on-hold-says-supreme-court-2005763
"The Shiv Sena on Monday said patriotism is not the monopoly of a single party and falsely calling people ""anti-national"" just because they are political opponents is nothing but suppression of freedom of expression.",https://www.ndtv.com/india-news/senas-swipe-at-bjp-patriotism-not-the-monopoly-of-a-single-party-2005760
"It's election season in India. The nation is preparing to hold general elections in April and May, in which about 900 million Indians -- more than the population of all the countries of Europe combined -- will cast their votes to select a new federal government.",https://www.ndtv.com/india-news/lok-sabha-polls-2019-7-reasons-you-cant-ignore-the-worlds-biggest-election-2005754
"A fire brokeout on the sixth floor of a government building in Delhi today.Three fire engines have rushed to thespot, news agency ANI reported.",https://www.ndtv.com/india-news/fire-breaks-out-on-sixth-floor-of-government-building-in-delhi-three-fire-engines-on-spot-report-2005734
"The stage is set for Arunachal Pradesh to hold Lok Sabha and Assembly polls simultaneously on April 11, election officials said today.",https://www.ndtv.com/india-news/stage-set-for-simultaneous-elections-in-arunachal-pradesh-2005720
"After 157 people,including four Indians, were killed in the Ethiopian Airlines crash, India's aviation watchdog, the DGCA, will seek information from Boeing as well as Jet Airways and SpiceJet operating Boeing 737 MAX 8 aircraft.The DGCA or Directorate General of Civil Aviation will seek information from Boeing and Indian carriers operating the model, according to the official.",https://www.ndtv.com/india-news/aviation-watchdog-to-address-concerns-on-boeing-model-post-crash-updates-2005696
"India's aviation watchdog DGCA is expected to examine concerns about the use of Boeing 737 MAX 8 aircraft after the Ethiopian Airlines crash on Sunday, according to a senior official. The Directorate General of Civil Aviation is likely to speak to both Boeing and airlines like Jet Airways and SpiceJet, which operate the latest variant of Boeing's best selling jetliner.",https://www.ndtv.com/india-news/ethiopian-airlines-crash-jet-spicejet-to-be-asked-for-info-on-boeing-737-max-model-after-ethiopia-cr-2005681
A Pakistani drone was shot down by India in Rajasthan's Sri Ganganagar district on Sunday. This is the fourth time that a Pakistani drone was intercepted by India since the air strike on a terror training camp across the Line of Control in Balakot by the Indian Air Force.,https://www.ndtv.com/india-news/pakistani-drone-shot-down-in-rajasthans-sri-ganganagar-fourth-one-since-balakot-air-strike-2005678
"Twelve years after a blast on board the Samjhauta Express, the bi-weekly train that runs between India and Pakistan, a court in Panchkula, is expected to pronounce its verdict today. The case saw a number of twists and turns, with the alleged mastermind found murdered and another out on bail. The NIA interrogated 290 witnesses and 30 among them turned hostile. Early morning on February 18, 2007, a terrible blast on Samjhauta Express killed as many as 68 passengers including many Pakistanis.",https://www.ndtv.com/india-news/samjhauta-blast-case-nia-court-to-pronounce-verdict-in-attack-that-killed-68-people-in-2007-2005676
"Shikha Garg, a UN consultant attached to the government, was among four Indians killed in the Ethiopian Airlines crash on Sunday. External Affairs Minister Sushma Swaraj put out an appeal on Twitter for help with contacting her family, saying there was no response on her husband's number.",https://www.ndtv.com/india-news/ethiopian-airlines-crash-help-me-reach-her-family-sushma-swarajs-tweets-on-indian-shikha-garg-killed-2005667
"The Indian Space Research Organisation (ISRO) has requested the Indian Air Force to select a cadre of ten astronauts for the $1.4 billion maiden mission of Gaganyaan, the ambitious project to send humans to space. So what does it take to become an astronaut? General Charles Bolden, an ace astronaut and former chief of NASA has some answers that may help an aspiring Indian space fairer.
General Charles Bolden, ace astronaut and a veteran of four space flights, feels anyone can become an astronaut and that one need not necessarily be a test pilot.",https://www.ndtv.com/india-news/gaganyaan-what-does-it-take-to-become-indias-gaganaut-nasa-astronaut-general-charles-boldens-pro-tip-2005652
"Foreign Secretary Vijay Gokhale will call on US Secretary of State Mike Pompeo and meet other senior officials of the Donald Trump administration in Washington today and exchange views on major foreign policy and security-related issues, officials said, amid tensions between India and Pakistan after the Pulwama terror attack.",https://www.ndtv.com/india-news/foreign-secretary-vijay-gokhale-begins-3-day-visit-to-us-to-meet-mike-pompeo-2005637
"Following the Election Commission's announcement on national elections on Sunday, political parties are gearing up to launch their poll campaign from various places. Congress president Rahul Gandhi is expected to address Delhi Congress booth in-charges today, while DMK chief MK Stalin will chair a meeting of party lawmakers to discuss the upcoming Lok Sabha elections.",https://www.ndtv.com/india-news/election-campaign-live-updates-rahul-gandhi-to-address-workers-in-delhi-2005629
The Election Commission has appointed three senior bureaucrats to assess the situation on the ground in Jammu and Kashmir for holding the Assembly elections in the state.,https://www.ndtv.com/india-news/a-look-at-the-special-observers-for-election-commission-in-jammu-and-kashmir-2005624
Assam Finance Minister Himanta Biswa Sarma on Sunday said the BJP and its allies will win between 19 and 21 seats out of the Northeast's 25 Lok Sabha seats.,https://www.ndtv.com/india-news/lok-sabha-elections-2019-bjp-led-northeast-alliance-will-win-19-21-seats-himanta-biswa-sarma-2005619
"American rock band Maroon 5 performed at a private gig after Akash Ambani's wedding with Shloka Mehta last evening, becoming the latest international artists to be roped into the celebrations after Coldplay's Chris Martin and The Chainsmokers played at a pre-wedding bash in Switzerland's St Moritz.",https://www.ndtv.com/india-news/akash-ambani-shloka-mehta-wedding-watch-maroon-5-perform-at-post-wedding-private-concert-2005617
"Amid heightened tensions between New Delhi and Islamabad, a reciprocal visit by the Indian team to Pakistan for inspection of projects in Indus river basin this month has been postponed, senior officials said on Sunday.",https://www.ndtv.com/india-news/indian-teams-visit-to-pak-for-indus-river-basin-inspection-postponed-2005613
Over 1.5 crore electors in 18-19 year age group will be eligible to vote for the first time in the seven-phased Lok Sabha election beginning April 11 with Prime Minister Narendra Modi calling upon them to vote in record numbers.,https://www.ndtv.com/india-news/over-1-5-crore-lok-sabha-voters-in-18-19-age-group-2005609
"Lt Governor of Puducherry Kiran Bedi appealed to the public to exercise their right to vote in the forthcoming general elections ""without fear or favour"".",https://www.ndtv.com/india-news/lok-sabha-elections-vote-without-fear-or-favour-in-the-elections-appeals-kiran-bedi-2005607
The RSS on Sunday welcomed appointment of a mediation panel by the Supreme Court but asserted that the Ram temple should be constructed at the place where it has been decided to be built.,https://www.ndtv.com/india-news/ram-temple-should-be-constructed-where-it-was-decided-to-be-rss-2005603
"Maharashtra will vote for Lok Sabha 2019 elections in four phases next month - on April 11, 18, 23 and 29, said Chief Electoral Officer Ashwani Kumar on Sunday.",https://www.ndtv.com/india-news/maharashtra-elections-2019-maharashtra-heads-for-elections-in-4-phases-starting-april-11-2005600
"Three terrorists were killed in an encounter with security forces in Pulwama district of Jammu and Kashmir on Sunday, a defence spokesman said.",https://www.ndtv.com/india-news/three-terrorists-killed-in-pulwama-encounter-2005598
Manipur Governor Najma Heptulla becomes the first governor in the state to have her name included in the voters' list.,https://www.ndtv.com/india-news/najma-heptulla-becomes-first-state-governor-to-cast-her-vote-in-imphal-2005596
"Ethiopian Airlines Flight Crash: Aviation regulator DGCA will seek information from Boeing as well as Jet Airways and SpiceJet operating Boeing 737 MAX aircraft in the wake of plane crash in Ethiopia, according to senior official.",https://www.ndtv.com/india-news/ethiopian-airlines-crash-aviation-regulator-to-seek-information-from-indian-carriers-on-boeing-737-2005589
"Fifty-six of the 112 ""inspiring"" personalities, who were selected for this year's Padma awards, will be conferred the prestigious honour today by President Ram Nath Kovind at a special function in Rashtrapati Bhavan, the officials said.",https://www.ndtv.com/india-news/president-ram-nath-kovind-to-confer-padma-awards-today-2005586
"As a lull prevails along the Line of Control (LoC) with Pakistan after a fortnight-long exchange of heavy fire, the army is on high alert anticipating ""shallow infiltration"" by terror groups to target troops and military installations, officials said on Sunday.",https://www.ndtv.com/india-news/army-anticipates-shallow-infiltration-by-terror-groups-in-jammu-and-kashmir-2005584
"A three-year-old girl was allegedly raped by a neighbour in Morbi town of Gujarat, a police official said on Sunday.",https://www.ndtv.com/india-news/3-year-old-girl-in-gujarat-raped-by-neighbour-say-police-2005582
"As the Election Commission announced dates for the Lok Sabha Polls today and the model code of conduct kicked in, Defence Minister Nirmala Sitharaman avoided taking a special aircraft and chose a to board a commercial flight to New Delhi from Chennai, the party said.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-nirmala-sitharaman-avoids-special-aircraft-as-poll-code-comes-into-place-bj-2005581
"A three-year-old girl was allegedly raped by a neighbour in Morbi town of Gujarat, a police official said on Sunday.",https://www.ndtv.com/india-news/3-year-old-girl-in-gujarat-raped-by-neighbour-say-police-2005582
"As the Election Commission announced dates for the Lok Sabha Polls today and the model code of conduct kicked in, Defence Minister Nirmala Sitharaman avoided taking a special aircraft and chose a to board a commercial flight to New Delhi from Chennai, the party said.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-nirmala-sitharaman-avoids-special-aircraft-as-poll-code-comes-into-place-bj-2005581
"Most of the leading dailies in the valley printed their front pages in blank on Sunday as a mark of protest against the ""unexplained denial"" of advertisements to two newspapers by the Jammu and Kashmir government.",https://www.ndtv.com/india-news/kashmir-dailies-leave-first-page-blank-as-mark-of-protest-2005580
"Civil Aviation Security chief Rakesh Asthana, who hogged the headlines due to his bitter fight with former CBI chief Alok Verma, is among three IPS officers who have been given the top pay scale, according to a Personnel Ministry order.",https://www.ndtv.com/india-news/ex-cbi-boss-rakesh-asthana-among-3-officers-to-get-top-pay-scale-2005579
"Four civilians, including a woman, were injured in a ceasefire violation by Pakistani troops along the Line of Control in Jammu and Kashmir's Baramulla district on Sunday, officials said.",https://www.ndtv.com/india-news/4-civilians-injured-in-pak-firing-along-loc-in-jammu-and-kashmirs-baramulla-2005577
Election Commission has made it compulsory for candidates contesting polls to advertise their criminal antecedents in TV and newspapers at least three times during campaigns.,https://www.ndtv.com/india-news/lok-sabha-election-2019-candidates-will-now-have-to-advertise-their-crime-records-2005576
"The Congress has finalised its seat-sharing arrangement with the Nationalist Congress Party for the Lok Sabha elections in Maharashtra, retaining 26 seats and giving 22 to its electoral ally, party sources said. Any remaining issues -- including seat allotment to smaller parties in the alliance -- will be ironed out in the coming days, they added.",https://www.ndtv.com/india-news/lok-sabha-elections-2019-congress-and-sharad-pawars-party-finalise-seat-sharing-formula-say-sources-2005575
"The United States is pressing India to stop buying oil from Venezuelan President Nicolas Maduro's government, Washington's top envoy for Venezuela said, as the Trump administration this week threatened more US sanctions to cut off Maduro's financial lifelines.",https://www.ndtv.com/india-news/us-pressing-india-to-stop-buying-venezuelan-oil-envoy-2005573
"Odisha will have state elections simultaneously with Lok Sabha polls held over four phases, the Election Commission said today.",https://www.ndtv.com/india-news/odisha-to-have-simultaneous-polls-in-four-phases-from-april-11-2005569
"Four Indians, including an Environment Ministry consultant, were among those killed when a Nairobi-bound Ethiopian Airlines plane crashed after take-off from Addis Ababa, Foreign Minister Sushma Swaraj said.",https://www.ndtv.com/india-news/environment-ministry-consultant-going-for-un-meet-killed-in-ethiopia-plane-crash-sushma-swaraj-2005568
"Assembly elections will be held parallelly with the Lok Sabha elections in Andhra Pradesh, Arunachal Pradesh, Sikkim and Odisha, the Election Commission said on Sunday. Polling will take place in one phase in all these states, except Odisha",https://www.ndtv.com/india-news/assembly-elections-to-be-held-in-4-states-along-with-national-polls-2005567
"Photographs of defence personnel cannot be used to promote political parties during campaign, the Election Commission said today while announcing the dates for the coming national polls. The Lok Sabha elections will be held in seven phases from April 11 to May 19 and the counting will be held on May 23.",https://www.ndtv.com/india-news/lok-sabha-electiomns-2019-election-commission-says-cant-use-armed-forces-for-campaign-2005566
"The Jharkhand Mukti Morcha has decided to fight the upcoming Lok Sabha and state assembly elections in Odisha in alliance with the Congress, news agency PTI reported today. Seat-sharing negotiations will be completed in four days, it added.",https://www.ndtv.com/india-news/hemant-sorens-party-to-team-up-with-congress-for-odisha-polls-2005563
"Dismissing speculations of his cosying up with rival BJP, senior Trinamool Congress leader Sabyasachi Dutta on Sunday said he remained a ""loyal soldier"" of the party and accused the BJP of trying to create confusion ahead of the general elections.",https://www.ndtv.com/india-news/tmc-leader-sabyasachi-dutta-after-meeting-mukul-roy-says-am-loyal-soldier-of-tmc-and-mamata-banerjee-2005561
Celebrities and politicians have started streaming in at the Jio World Complex in Mumbai for a post-wedding celebration for Akash Ambani and Shloka Mehta who were married in a glittering ceremony on Saturday.,https://www.ndtv.com/india-news/akash-ambani-shloka-mehta-wedding-all-the-stars-at-the-post-wedding-bash-2005555
